"organizationId","organizationName","siteId","siteName","deviceId","deviceName","deviceUserFriendlyId","deviceTimeZoneId","latitude","longitude","serviceSubscriptionId","particulateId","displayName","scientificName","isBeta","warningConcentrationThreshold","dangerConcentrationThreshold","maximumConcentrationThreshold","tapeScanId","samplingStartTime","samplingEndTime","count","concentration"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6710","4","General Alternaria","Alternaria spp.","False","30","120","200","75326","2025-10-20T10:00:01Z","2025-10-20T16:00:12Z","3","4,164546"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6710","4","General Alternaria","Alternaria spp.","False","30","120","200","75623","2025-10-21T10:00:19Z","2025-10-21T16:00:11Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6710","4","General Alternaria","Alternaria spp.","False","30","120","200","75613","2025-10-22T10:00:01Z","2025-10-22T16:00:12Z","6","8,329092"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6710","4","General Alternaria","Alternaria spp.","False","30","120","200","75761","2025-10-23T10:00:01Z","2025-10-23T16:00:11Z","9","12,494216"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6710","4","General Alternaria","Alternaria spp.","False","30","120","200","75908","2025-10-24T10:00:01Z","2025-10-24T16:00:11Z","9","12,494216"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6710","4","General Alternaria","Alternaria spp.","False","30","120","200","76052","2025-10-25T10:00:01Z","2025-10-25T16:00:12Z","8","11,105455"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6710","4","General Alternaria","Alternaria spp.","False","30","120","200","76506","2025-10-26T10:00:01Z","2025-10-26T16:00:14Z","7","9,716374"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6710","4","General Alternaria","Alternaria spp.","False","30","120","200","76502","2025-10-27T10:00:19Z","2025-10-27T16:00:13Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6710","4","General Alternaria","Alternaria spp.","False","30","120","200","76498","2025-10-28T10:00:01Z","2025-10-28T16:00:12Z","1","1,3881819"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6710","4","General Alternaria","Alternaria spp.","False","30","120","200","76650","2025-10-29T10:00:01Z","2025-10-29T16:00:10Z","0","0"
